tick_n,phase,status,raw_eda,raw_hr,raw_hrv
112,BASELINE,NEW_DATA,4.8492,73.6502,nan
113,BASELINE,NEW_DATA,4.8492,73.6502,nan
114,BASELINE,NEW_DATA,4.8462,73.6502,nan
115,BASELINE,NEW_DATA,4.8454,73.1686,nan
116,BASELINE,NEW_DATA,4.8450,73.1686,nan
117,BASELINE,NEW_DATA,4.8439,73.1686,nan
118,BASELINE,NEW_DATA,4.8416,73.1686,nan
119,BASELINE,NEW_DATA,4.8409,73.1686,nan
120,BASELINE,NEW_DATA,4.8401,72.3294,nan
121,BASELINE,NEW_DATA,4.8424,72.3294,nan
122,BASELINE,NEW_DATA,4.8420,72.3294,nan
123,BASELINE,NEW_DATA,4.8393,72.3294,nan
124,BASELINE,NEW_DATA,4.8378,72.3294,nan
125,BASELINE,NEW_DATA,4.8393,72.3294,nan
126,BASELINE,NEW_DATA,4.8378,72.3294,nan
127,BASELINE,NEW_DATA,4.8363,72.3294,nan
128,BASELINE,NEW_DATA,4.8370,72.3294,nan
129,BASELINE,NEW_DATA,4.8340,72.3294,nan
130,BASELINE,NEW_DATA,4.8340,71.6477,nan
131,BASELINE,NEW_DATA,4.8325,71.6477,nan
132,BASELINE,NEW_DATA,4.8325,71.6477,nan
133,BASELINE,NEW_DATA,4.8309,71.6477,nan
134,BASELINE,NEW_DATA,4.8302,71.6477,nan
135,BASELINE,NEW_DATA,4.8317,71.6477,nan
136,BASELINE,NEW_DATA,4.8309,71.6477,nan
137,BASELINE,NEW_DATA,4.8298,71.6477,nan
138,BASELINE,NEW_DATA,4.8309,71.6477,nan
139,BASELINE,NEW_DATA,4.8283,71.6477,nan
140,BASELINE,NEW_DATA,4.8256,71.2904,nan
141,BASELINE,NEW_DATA,4.8256,71.2904,nan
142,BASELINE,NEW_DATA,4.8264,71.2904,nan
143,BASELINE,NEW_DATA,4.8241,71.2904,nan
144,BASELINE,NEW_DATA,4.8222,71.2904,nan
