time,normEDA,normHRV,normHR,s_instant,s_t,height
9046.0000,51.3472,23.7186,-0.3746,32.7143,32.9876,
9047.0000,51.3472,23.7186,-0.3746,32.7143,32.9782,
9048.0000,51.2023,23.7186,-0.3746,32.6418,32.9667,
9049.0000,51.3110,23.7186,-0.3746,32.6962,32.9566,
9050.0000,51.0238,23.7186,-0.3746,32.5526,32.9427,
9051.0000,51.1040,23.7186,-0.3305,32.6015,32.9293,
9052.0000,51.1299,23.7186,-0.3305,32.6144,32.9169,
9053.0000,50.9514,23.7186,-0.3305,32.5252,32.9025,
9054.0000,50.9152,23.7186,-0.3305,32.5071,32.8896,
9055.0000,50.8091,23.7186,-0.3305,32.4540,32.8757,
9056.0000,50.8970,23.7186,-0.3305,32.4980,32.8620,
9057.0000,50.7004,23.7186,-0.3305,32.3997,32.8488,
9058.0000,50.9333,23.7186,-0.3305,32.5161,32.8358,
9059.0000,50.7729,23.7186,-0.3305,32.4359,32.8234,
9060.0000,50.7366,23.7186,-0.3305,32.4178,32.8112,
9061.0000,50.7366,23.7186,-0.3305,32.4178,32.7979,
9062.0000,50.4934,23.7186,-0.3305,32.2962,32.7837,
9063.0000,50.7547,23.7186,-0.3305,32.4269,32.7716,
9064.0000,50.4495,23.7186,-0.3305,32.2742,32.7575,
9065.0000,50.5555,23.7186,-0.3305,32.3272,32.7442,
9066.0000,50.4132,22.2858,-0.4358,31.8052,32.7206,
9067.0000,50.4857,22.2858,-0.4358,31.8414,32.6991,
9068.0000,50.5038,22.2858,-0.4358,31.8505,32.6760,
9069.0000,50.2709,22.2858,-0.4358,31.7340,32.6487,
9070.0000,50.4132,22.2858,-0.4358,31.8052,32.6222,
9071.0000,50.3408,22.2858,-0.4358,31.7690,32.5960,
9072.0000,50.1985,22.2858,-0.4358,31.6978,32.5681,
9073.0000,50.2062,22.2858,-0.4358,31.7017,32.5408,
9074.0000,50.1804,22.2858,-0.4358,31.6888,32.5141,
9075.0000,50.1260,22.2858,-0.4358,31.6616,32.4876,
9076.0000,50.0898,22.2858,-0.4358,31.6435,32.4604,
9077.0000,50.0536,22.2858,-0.4358,31.6254,32.4329,
9078.0000,49.9734,22.2858,-0.4358,31.5853,32.4054,
9079.0000,49.9475,22.2858,-0.4358,31.5723,32.3788,
9080.0000,49.9475,22.2858,-0.4358,31.5723,32.3520,
9081.0000,49.7664,22.2858,-0.4358,31.4818,32.3247,
9082.0000,49.8751,22.0987,-0.2430,31.5185,32.2974,
9083.0000,49.6966,22.0987,-0.2430,31.4293,32.2695,
9084.0000,49.6603,22.0987,-0.2430,31.4112,32.2413,
9085.0000,49.7043,22.0987,-0.2430,31.4332,32.2127,
9086.0000,49.4792,22.0987,-0.2430,31.3206,32.1823,
9087.0000,49.6241,22.0987,-0.2430,31.3931,32.1536,
9088.0000,49.4792,22.0987,-0.2430,31.3206,32.1237,
9089.0000,49.4094,22.0987,-0.2430,31.2857,32.0934,
9090.0000,49.4094,22.0987,-0.2430,31.2857,32.0641,
9091.0000,49.2645,22.0987,-0.2430,31.2132,32.0325,
9092.0000,49.3628,22.0987,-0.2430,31.2624,32.0013,
9093.0000,49.1920,22.0987,-0.2430,31.1770,31.9709,
9094.0000,49.3913,22.0987,-0.2430,31.2766,31.9411,
9095.0000,49.1558,22.0987,-0.2430,31.1589,31.9111,
9096.0000,49.1222,22.0987,-0.2430,31.1421,31.8796,
9097.0000,49.1041,22.0987,-0.2430,31.1330,31.8480,
9098.0000,48.9411,22.0987,-0.1853,31.0631,31.8164,
9099.0000,49.0860,22.0987,-0.1853,31.1355,31.7852,
9100.0000,48.9876,22.0987,-0.1853,31.0864,31.7559,
9101.0000,48.9592,22.0987,-0.1853,31.0721,31.7253,
9102.0000,48.9411,22.0987,-0.1853,31.0631,31.6943,
9103.0000,48.7263,22.0987,-0.1853,30.9557,31.6629,
