tick_n,phase,status,raw_eda,raw_hr,raw_hrv
108,BASELINE,NEW_DATA,3.4013,nan,nan
109,BASELINE,NEW_DATA,3.4027,nan,nan
110,BASELINE,NEW_DATA,3.4013,nan,nan
111,BASELINE,NEW_DATA,3.3979,nan,nan
112,BASELINE,NEW_DATA,3.3996,nan,nan
113,BASELINE,NEW_DATA,3.4020,nan,nan
114,BASELINE,NEW_DATA,3.4020,nan,nan
115,BASELINE,NEW_DATA,3.4017,nan,nan
116,BASELINE,NEW_DATA,3.3999,nan,nan
117,BASELINE,NEW_DATA,3.3999,nan,nan
118,BASELINE,NEW_DATA,3.4013,nan,nan
119,BASELINE,NEW_DATA,3.3985,nan,nan
120,BASELINE,NEW_DATA,3.3985,nan,nan
121,BASELINE,NEW_DATA,3.3996,nan,nan
122,BASELINE,NEW_DATA,3.3992,nan,nan
123,BASELINE,NEW_DATA,3.3951,81.6253,nan
124,BASELINE,NEW_DATA,3.3958,81.6253,nan
125,BASELINE,NEW_DATA,3.3965,81.6253,nan
126,BASELINE,NEW_DATA,3.3951,81.6253,nan
127,BASELINE,NEW_DATA,3.4006,81.6253,nan
128,BASELINE,NEW_DATA,3.3951,81.6253,nan
129,BASELINE,NEW_DATA,3.3961,81.6253,nan
130,BASELINE,NEW_DATA,3.3958,81.6253,nan
131,BASELINE,NEW_DATA,3.3951,81.6253,nan
132,BASELINE,NEW_DATA,3.3961,81.6253,nan
133,BASELINE,NEW_DATA,3.3972,81.6253,nan
134,BASELINE,NEW_DATA,3.3999,81.6253,nan
135,BASELINE,NEW_DATA,3.4017,81.6253,nan
136,BASELINE,NEW_DATA,3.4027,81.6253,nan
137,BASELINE,NEW_DATA,3.3985,81.6253,nan
138,BASELINE,NEW_DATA,3.3958,81.6253,nan
139,BASELINE,NEW_DATA,3.4003,81.6253,nan
140,BASELINE,NEW_DATA,3.3999,81.6253,nan
141,BASELINE,NEW_DATA,3.3992,81.6253,nan
142,BASELINE,NEW_DATA,3.3992,81.6253,nan
143,BASELINE,NEW_DATA,3.4020,81.6253,nan
144,BASELINE,NEW_DATA,3.3975,81.6253,nan
145,BASELINE,NEW_DATA,3.3989,81.6253,nan
146,BASELINE,NEW_DATA,3.3999,81.6253,nan
147,BASELINE,NEW_DATA,3.3992,81.4086,nan
148,BASELINE,NEW_DATA,3.4006,81.4086,nan
149,BASELINE,NEW_DATA,3.3972,81.4086,nan
150,BASELINE,NEW_DATA,3.3992,81.4086,nan
151,BASELINE,NEW_DATA,3.3979,81.4086,nan
152,BASELINE,NEW_DATA,3.3992,81.4086,nan
153,BASELINE,NEW_DATA,3.4003,81.4086,nan
154,BASELINE,NEW_DATA,3.3958,81.4086,nan
155,BASELINE,NEW_DATA,3.4013,81.4086,nan
156,BASELINE,NEW_DATA,3.4013,81.4086,nan
157,BASELINE,NEW_DATA,3.3979,81.4086,nan
158,BASELINE,NEW_DATA,3.3996,81.4086,nan
159,BASELINE,NEW_DATA,3.4006,81.4086,nan
160,BASELINE,NEW_DATA,3.3985,81.4086,nan
161,BASELINE,NEW_DATA,3.3965,81.4086,nan
162,BASELINE,NEW_DATA,3.3989,81.4086,nan
163,BASELINE,NEW_DATA,3.4027,81.4086,nan
164,BASELINE,NEW_DATA,3.4010,81.4086,nan
