# OpenSignals Text File Format. Version 1
# {"00:07:80:0F:31:9C": {"position": 0, "device": "biosignalsplux", "device name": "00:07:80:0F:31:9C", "device connection": "BTH00:07:80:0F:31:9C", "sampling rate": 200, "resolution": [16, 16], "firmware version": 775, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2026-6-19", "time": "17:29:47.907", "channels": [1, 2], "sensor": ["ECG", "EDA"], "label": ["CH1", "CH2"], "column": ["nSeq", "DI", "CH1", "CH2"], "special": [{"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}], "digital IO": [0, 1], "sleeve color": ["", ""], "convertedValues": 0}}
# EndOfHeader
0	0	31504	54254	
1	0	31964	54338	
2	0	32656	54337	
3	0	33216	54249	
4	0	33804	54332	
5	0	34180	54320	
6	0	34512	54222	
7	0	34848	54292	
8	0	34884	54279	
9	0	35128	54316	
10	0	35164	54296	
11	0	35168	54180	
12	0	35200	54276	
13	0	35052	54308	
14	0	35016	54238	
15	0	35052	54240	
16	0	34864	54252	
17	0	34860	54253	
18	0	34753	54252	
19	0	34734	54136	
20	0	34498	54232	
21	0	34412	54237	
22	0	34376	54236	
23	0	34260	54215	
24	0	34104	54144	
25	0	34028	54204	
26	0	33972	54196	
27	0	33968	54146	
28	0	33888	54164	
29	0	33800	54166	
30	0	33736	54196	
31	0	33672	54180	
32	0	33632	54174	
33	0	33546	54176	
34	0	33644	54164	
35	0	33608	54148	
36	0	33608	54151	
37	0	33600	54164	
38	0	33580	54151	
39	0	33600	54140	
40	0	33640	54100	
41	0	33540	54164	
42	0	33608	54132	
43	0	33512	54095	
44	0	33508	54120	
45	0	33552	54132	
46	0	33488	54074	
47	0	33544	54072	
48	0	33328	54058	
49	0	33408	54040	
50	0	33386	54080	
51	0	33368	54064	
52	0	33312	54000	
53	0	33224	54042	
54	0	33224	54009	
55	0	33316	54060	
56	0	33296	54070	
57	0	33224	53992	
58	0	33120	53980	
59	0	33278	53984	
60	0	33072	54068	
61	0	33108	53964	
62	0	33108	54044	
63	0	33096	54023	
64	0	33084	54040	
65	0	33060	54052	
66	0	33056	54041	
67	0	33072	54016	
68	0	33056	54022	
69	0	32988	54036	
70	0	32992	53964	
71	0	32960	54008	
72	0	32984	53920	
73	0	32864	54022	
74	0	32954	54004	
75	0	33060	53993	
76	0	32952	54008	
77	0	32944	54014	
78	0	32844	54001	
79	0	32688	53982	
80	0	32704	53944	
81	0	32544	53991	
82	0	32536	53884	
83	0	32444	53928	
84	0	32408	53969	
85	0	32372	54004	
86	0	32328	53957	
87	0	32268	53960	
88	0	32312	53948	
89	0	32352	53969	
90	0	32320	53877	
91	0	32456	53940	
92	0	32600	53854	
93	0	32896	53966	
94	0	33056	53836	
95	0	33220	53836	
96	0	33272	53916	
97	0	33280	53924	
98	0	33296	53912	
99	0	33252	53912	
100	0	33224	53918	
101	0	33380	53924	
102	0	33360	53900	
103	0	33312	53884	
104	0	33248	53895	
105	0	33210	53921	
106	0	32864	53880	
107	0	32241	53892	
108	0	31136	53828	
109	0	28768	53895	
110	0	27840	53860	
111	0	28701	53895	
112	0	29488	53888	
113	0	33496	53908	
114	0	37228	53888	
115	0	38760	53884	
116	0	38712	53894	
117	0	38544	53911	
118	0	37576	53881	
119	0	35852	53855	
120	0	33976	53885	
121	0	32704	53889	
122	0	32488	53864	
123	0	32244	53850	
124	0	32004	53868	
125	0	31978	53848	
126	0	31988	53844	
127	0	32108	53827	
128	0	32062	53740	
129	0	31984	53848	
130	0	31868	53764	
131	0	31812	53822	
132	0	31732	53824	
133	0	31768	53764	
134	0	31817	53760	
135	0	31920	53756	
136	0	31658	53808	
137	0	31676	53824	
138	0	31600	53804	
139	0	31664	53767	
140	0	31616	53788	
141	0	31516	53813	
142	0	31480	53799	
143	0	31386	53764	
144	0	31304	53790	
145	0	31238	53712	
146	0	31048	53767	
147	0	30932	53767	
148	0	30712	53767	
149	0	30548	53804	
150	0	30396	53767	
151	0	30226	53708	
152	0	29996	53767	
153	0	29764	53796	
154	0	29608	53767	
155	0	29528	53740	
156	0	29438	53742	
157	0	29444	53804	
158	0	29496	53751	
159	0	29612	53736	
160	0	29792	53767	
161	0	30080	53792	
162	0	30516	53684	
163	0	31108	53712	
164	0	31784	53684	
165	0	32364	53784	
166	0	33008	53767	
167	0	33648	53744	
168	0	34080	53689	
169	0	34468	53748	
170	0	34692	53692	
171	0	34932	53720	
172	0	35084	53746	
173	0	35020	53740	
174	0	35140	53725	
175	0	35188	53624	
176	0	35116	53748	
177	0	35052	53740	
178	0	35048	53726	
179	0	35008	53700	
180	0	34876	53720	
181	0	34776	53728	
182	0	34668	53620	
183	0	34618	53620	
184	0	34532	53712	
185	0	34356	53722	
186	0	34260	53696	
187	0	34188	53686	
188	0	34072	53694	
189	0	34016	53639	
190	0	33916	53688	
191	0	33921	53679	
192	0	33808	53624	
193	0	33694	53708	
194	0	33684	53700	
195	0	33632	53660	
196	0	33600	53644	
197	0	33608	53606	
198	0	33544	53672	
199	0	33544	53680	
200	0	33524	53684	
201	0	33460	53679	
202	0	33544	53687	
203	0	33512	53658	
204	0	33544	53685	
205	0	33568	53690	
206	0	33504	53676	
207	0	33496	53648	
208	0	33428	53686	
209	0	33432	53652	
210	0	33472	53688	
211	0	33530	53664	
212	0	33408	53608	
213	0	33410	53677	
214	0	33325	53672	
215	0	33264	53657	
216	0	33308	53668	
217	0	33328	53684	
218	0	33292	53669	
219	0	33218	53671	
220	0	33180	53680	
221	0	33180	53626	
222	0	33192	53596	
223	0	33152	53607	
224	0	33144	53662	
225	0	33152	53610	
226	0	33152	53672	
227	0	33138	53668	
228	0	33152	53676	
229	0	33072	53684	
230	0	33080	53636	
231	0	33016	53639	
232	0	33020	53662	
233	0	33008	53654	
234	0	32952	53662	
235	0	33040	53649	
236	0	32944	53666	
237	0	32912	53676	
238	0	32880	53652	
239	0	32976	53658	
240	0	32820	53596	
241	0	32848	53615	
242	0	32788	53660	
243	0	32856	53639	
244	0	32792	53672	
245	0	32828	53678	
246	0	32800	53560	
247	0	32784	53644	
248	0	32752	53664	
249	0	32836	53686	
250	0	32828	53672	
251	0	32762	53652	
252	0	32776	53676	
253	0	32748	53685	
254	0	32780	53678	
255	0	32728	53620	
256	0	32604	53576	
257	0	32484	53684	
258	0	32512	53596	
259	0	32528	53660	
260	0	32536	53684	
261	0	32312	53696	
262	0	32272	53664	
263	0	32232	53670	
264	0	32184	53691	
265	0	32010	53700	
266	0	32128	53672	
267	0	32168	53628	
268	0	32244	53607	
269	0	32330	53692	
270	0	32472	53680	
271	0	32744	53652	
272	0	32904	53692	
273	0	33032	53639	
274	0	33088	53693	
275	0	33092	53684	
276	0	33064	53672	
277	0	33080	53676	
278	0	33052	53608	
279	0	33073	53662	
280	0	33040	53684	
281	0	33004	53700	
282	0	32986	53696	
283	0	33064	53672	
284	0	32728	53668	
285	0	32016	53709	
286	0	30416	53696	
287	0	28468	53678	
288	0	28200	53728	
289	0	29049	53736	
290	0	29492	53743	
291	0	34116	53716	
292	0	37868	53660	
293	0	39036	53728	
294	0	39152	53740	
295	0	38316	53717	
296	0	36512	53716	
297	0	34496	53744	
298	0	32888	53740	
299	0	32552	53732	
300	0	32296	53712	
301	0	32184	53716	
302	0	32056	53664	
303	0	32032	53712	
304	0	31880	53732	
305	0	31952	53692	
306	0	31896	53743	
307	0	31952	53708	
308	0	31788	53742	
309	0	31820	53740	
310	0	31752	53726	
311	0	31756	53708	
312	0	31712	53736	
313	0	31684	53764	
314	0	31660	53710	
315	0	31720	53727	
316	0	31661	53740	
317	0	31608	53760	
318	0	31528	53749	
319	0	31556	53623	
320	0	31488	53688	
321	0	31332	53684	
322	0	31292	53744	
323	0	31168	53749	
324	0	31104	53764	
325	0	30972	53764	
326	0	30788	53752	
327	0	30580	53748	
328	0	30428	53767	
329	0	30160	53692	
330	0	30008	53756	
331	0	29708	53732	
332	0	29552	53767	
333	0	29388	53692	
334	0	29264	53767	
335	0	29288	53690	
336	0	29344	53796	
337	0	29476	53823	
338	0	29658	53813	
339	0	29928	53748	
340	0	30290	53781	
341	0	30816	53806	
342	0	31412	53798	
343	0	32144	53788	
344	0	32804	53808	
345	0	33408	53767	
346	0	33900	53816	
347	0	34304	53781	
348	0	34556	53816	
349	0	34816	53796	
350	0	34992	53808	
351	0	35072	53754	
352	0	35072	53724	
353	0	35112	53824	
354	0	35060	53796	
355	0	35016	53799	
356	0	35020	53728	
357	0	34964	53812	
358	0	34896	53724	
359	0	34832	53767	
360	0	34680	53798	
361	0	34616	53816	
362	0	34564	53828	
363	0	34508	53804	
364	0	34360	53816	
365	0	34240	53828	
366	0	34176	53812	
367	0	34152	53784	
368	0	34100	53812	
369	0	33964	53816	
370	0	33876	53728	
371	0	33880	53740	
372	0	33798	53823	
373	0	33832	53836	
374	0	33740	53828	
375	0	33664	53767	
376	0	33732	53808	
377	0	33644	53760	
378	0	33572	53820	
379	0	33540	53732	
380	0	33536	53840	
381	0	33552	53844	
382	0	33568	53799	
383	0	33584	53810	
384	0	33572	53767	
385	0	33520	53804	
386	0	33528	53824	
387	0	33532	53796	
388	0	33524	53836	
389	0	33477	53844	
390	0	33434	53828	
391	0	33396	53750	
392	0	33416	53844	
393	0	33336	53854	
394	0	33300	53834	
395	0	33336	53832	
396	0	33304	53741	
397	0	33304	53853	
398	0	33216	53828	
399	0	33248	53826	
400	0	33196	53830	
401	0	33136	53864	
402	0	33128	53832	
403	0	33220	53788	
404	0	33172	53812	
405	0	33152	53863	
406	0	33100	53810	
407	0	33048	53832	
408	0	33076	53846	
409	0	33056	53824	
410	0	33112	53840	
411	0	33068	53824	
412	0	33028	53860	
413	0	32946	53767	
414	0	32980	53751	
415	0	32988	53755	
416	0	32972	53856	
417	0	33008	53820	
418	0	32940	53824	
419	0	32964	53767	
420	0	32960	53844	
421	0	32861	53837	
422	0	32880	53854	
423	0	32856	53756	
424	0	32864	53756	
425	0	32888	53839	
426	0	32920	53756	
427	0	32860	53818	
428	0	32832	53844	
429	0	32860	53844	
430	0	32852	53844	
431	0	32877	53793	
432	0	32796	53860	
433	0	32680	53860	
434	0	32672	53860	
435	0	32704	53761	
436	0	32788	53862	
437	0	32728	53848	
438	0	32712	53844	
439	0	32788	53844	
440	0	32780	53828	
441	0	32738	53828	
442	0	32698	53792	
443	0	32828	53808	
444	0	32756	53863	
445	0	32748	53862	
446	0	32748	53748	
447	0	32804	53831	
448	0	32732	53863	
449	0	32704	53868	
450	0	32724	53828	
451	0	32732	53736	
452	0	32720	53767	
453	0	32732	53796	
454	0	32632	53756	
455	0	32668	53756	
