timestamp,status,raw_eda,raw_hr,raw_hrv
2026-05-31 22:42:36.096,HOLD_LAST,0.0,0.0,0.0
2026-05-31 22:42:36.116,HOLD_LAST,0.0,0.0,0.0
2026-05-31 22:42:36.136,HOLD_LAST,0.0,0.0,0.0
2026-05-31 22:42:36.156,NEW_DATA,3.4041,75.0,40.0
2026-05-31 22:42:36.176,NEW_DATA,3.4013,75.0,40.0
2026-05-31 22:42:36.197,NEW_DATA,3.3985,75.0,40.0
2026-05-31 22:42:36.217,NEW_DATA,3.4048,75.0,40.0
2026-05-31 22:42:36.237,NEW_DATA,3.4041,75.0,40.0
2026-05-31 22:42:36.258,NEW_DATA,3.3985,75.0,40.0
2026-05-31 22:42:36.278,NEW_DATA,3.4027,75.0,40.0
2026-05-31 22:42:36.299,NEW_DATA,3.3999,75.0,40.0
2026-05-31 22:42:36.320,NEW_DATA,3.4044,75.0,40.0
2026-05-31 22:42:36.340,NEW_DATA,3.4013,75.0,40.0
2026-05-31 22:42:36.361,NEW_DATA,3.4027,75.0,40.0
2026-05-31 22:42:36.382,NEW_DATA,3.4017,75.0,40.0
2026-05-31 22:42:36.403,NEW_DATA,3.4027,75.0,40.0
2026-05-31 22:42:36.424,NEW_DATA,3.4027,75.0,40.0
2026-05-31 22:42:36.444,NEW_DATA,3.4017,75.0,40.0
2026-05-31 22:42:36.464,NEW_DATA,3.4069,75.0,40.0
2026-05-31 22:42:36.484,NEW_DATA,3.4027,75.0,40.0
2026-05-31 22:42:36.505,NEW_DATA,3.4013,75.0,40.0
2026-05-31 22:42:36.526,NEW_DATA,3.4041,75.0,40.0
2026-05-31 22:42:36.547,NEW_DATA,3.4013,75.0,40.0
2026-05-31 22:42:36.569,NEW_DATA,3.4003,75.0,40.0
2026-05-31 22:42:36.590,NEW_DATA,3.402,75.0,40.0
2026-05-31 22:42:36.610,NEW_DATA,3.4027,75.0,40.0
2026-05-31 22:42:36.630,NEW_DATA,3.4006,75.0,40.0
2026-05-31 22:42:36.650,NEW_DATA,3.4058,75.0,40.0
2026-05-31 22:42:36.671,NEW_DATA,3.4048,75.0,40.0
2026-05-31 22:42:36.692,NEW_DATA,3.4013,75.0,40.0
2026-05-31 22:42:36.712,NEW_DATA,3.4017,75.0,40.0
2026-05-31 22:42:36.733,NEW_DATA,3.4079,75.0,40.0
2026-05-31 22:42:36.753,NEW_DATA,3.4076,75.0,40.0
2026-05-31 22:42:36.774,NEW_DATA,3.4013,75.0,40.0
2026-05-31 22:42:36.794,NEW_DATA,3.4069,75.0,40.0
2026-05-31 22:42:36.815,NEW_DATA,3.4041,79.6813,40.0
2026-05-31 22:42:36.836,NEW_DATA,3.4024,79.6813,40.0
2026-05-31 22:42:36.857,NEW_DATA,3.4069,79.6813,40.0
2026-05-31 22:42:36.878,NEW_DATA,3.4013,79.6813,40.0
2026-05-31 22:42:36.899,NEW_DATA,3.4055,79.6813,40.0
2026-05-31 22:42:36.920,NEW_DATA,3.4055,79.6813,40.0
2026-05-31 22:42:36.940,NEW_DATA,3.4027,79.6813,40.0
2026-05-31 22:42:36.960,NEW_DATA,3.4027,79.6813,40.0
2026-05-31 22:42:36.980,NEW_DATA,3.4041,79.6813,40.0
2026-05-31 22:42:37.000,NEW_DATA,3.402,79.6813,40.0
2026-05-31 22:42:37.021,NEW_DATA,3.4055,79.6813,40.0
2026-05-31 22:42:37.042,NEW_DATA,3.4062,79.6813,40.0
2026-05-31 22:42:37.063,NEW_DATA,3.4031,79.6813,40.0
2026-05-31 22:42:37.084,NEW_DATA,3.4048,79.6813,40.0
2026-05-31 22:42:37.104,NEW_DATA,3.4076,79.6813,40.0
2026-05-31 22:42:37.125,NEW_DATA,3.4055,79.6813,40.0
2026-05-31 22:42:37.145,NEW_DATA,3.4055,79.6813,40.0
2026-05-31 22:42:37.166,NEW_DATA,3.402,79.6813,40.0
2026-05-31 22:42:37.187,NEW_DATA,3.3999,79.6813,40.0
2026-05-31 22:42:37.207,NEW_DATA,3.4069,79.6813,40.0
2026-05-31 22:42:37.227,NEW_DATA,3.4027,79.6813,40.0
2026-05-31 22:42:37.248,NEW_DATA,3.4013,79.6813,40.0
2026-05-31 22:42:37.268,NEW_DATA,3.4048,79.6813,40.0
2026-05-31 22:42:37.289,NEW_DATA,3.4058,79.6813,40.0
2026-05-31 22:42:37.309,NEW_DATA,3.4013,79.6813,40.0
2026-05-31 22:42:37.329,NEW_DATA,3.3972,79.6813,40.0
2026-05-31 22:42:37.349,NEW_DATA,3.4069,79.6813,40.0
2026-05-31 22:42:37.369,NEW_DATA,3.4031,79.6813,40.0
2026-05-31 22:42:37.389,NEW_DATA,3.4041,79.6813,40.0
2026-05-31 22:42:37.409,NEW_DATA,3.4083,79.6813,40.0
2026-05-31 22:42:37.429,NEW_DATA,3.4048,79.6813,40.0
2026-05-31 22:42:37.450,NEW_DATA,3.4041,79.6813,40.0
2026-05-31 22:42:37.470,NEW_DATA,3.4055,79.6813,40.0
2026-05-31 22:42:37.491,NEW_DATA,3.4027,79.6813,40.0
