timestamp,phase,smooth_eda,smooth_hr,smooth_hrv
2026-06-01 08:33:51.112,IDLE,0.0,0.0,0.0
2026-06-01 08:33:51.127,IDLE,0.0,0.0,0.0
2026-06-01 08:33:51.148,IDLE,0.1701,7.9991,2.0
2026-06-01 08:33:51.169,IDLE,0.3317,15.1984,3.9
2026-06-01 08:33:51.190,IDLE,0.485,21.6777,5.705
2026-06-01 08:33:51.211,IDLE,0.6309,27.509,7.4197
2026-06-01 08:33:51.231,IDLE,0.7694,32.7573,9.0488
2026-06-01 08:33:51.251,IDLE,0.901,37.4807,10.5963
2026-06-01 08:33:51.272,IDLE,1.0261,41.7318,12.0665
2026-06-01 08:33:51.292,IDLE,1.1448,45.5577,13.4632
2026-06-01 08:33:51.312,IDLE,1.2575,49.0011,14.79
2026-06-01 08:33:51.333,IDLE,1.3647,52.1001,16.0505
2026-06-01 08:33:51.354,IDLE,1.4665,54.8892,17.248
2026-06-01 08:33:51.374,IDLE,1.5631,57.3995,18.3856
2026-06-01 08:33:51.394,IDLE,1.655,59.6586,19.4663
2026-06-01 08:33:51.415,IDLE,1.7424,61.6919,20.493
2026-06-01 08:33:51.435,IDLE,1.8252,63.5219,21.4684
2026-06-01 08:33:51.456,IDLE,1.9043,65.1688,22.3949
2026-06-01 08:33:51.477,IDLE,1.979,66.6511,23.2752
2026-06-01 08:33:51.497,IDLE,2.0501,67.9851,24.1114
2026-06-01 08:33:51.517,IDLE,2.1178,69.1857,24.9059
2026-06-01 08:33:51.538,IDLE,2.182,70.2663,25.6606
2026-06-01 08:33:51.558,IDLE,2.2431,71.2388,26.3775
2026-06-01 08:33:51.579,IDLE,2.3011,72.1141,27.0587
2026-06-01 08:33:51.600,IDLE,2.3562,72.9018,27.7057
2026-06-01 08:33:51.620,IDLE,2.4084,73.6108,28.3204
2026-06-01 08:33:51.641,IDLE,2.4582,74.2488,28.9044
2026-06-01 08:33:51.661,IDLE,2.5053,74.8231,29.4592
2026-06-01 08:33:51.682,IDLE,2.5501,75.3399,29.9862
2026-06-01 08:33:51.703,IDLE,2.5927,75.8051,30.4869
2026-06-01 08:33:51.723,IDLE,2.6332,76.2237,30.9626
2026-06-01 08:33:51.745,IDLE,2.672,76.6005,31.4144
2026-06-01 08:33:51.765,IDLE,2.7087,76.9396,31.8437
2026-06-01 08:33:51.785,IDLE,2.7434,77.2447,32.2515
2026-06-01 08:33:51.805,IDLE,2.7764,77.5187,32.639
2026-06-01 08:33:51.826,IDLE,2.8079,77.7634,33.007
2026-06-01 08:33:51.849,IDLE,2.8378,77.9821,33.3567
2026-06-01 08:33:51.869,IDLE,2.8658,78.1772,33.6888
2026-06-01 08:33:51.890,IDLE,2.8929,78.3514,34.0044
2026-06-01 08:33:51.911,IDLE,2.9185,78.5068,34.3042
2026-06-01 08:33:51.931,IDLE,2.9427,78.6455,34.589
2026-06-01 08:33:51.951,IDLE,2.9659,78.769,34.8595
