timestamp,phase,smooth_eda,smooth_hr,smooth_hrv
2026-05-19 17:17:43.560,BASELINE,0.0,0.0,0.0
2026-05-19 17:17:43.581,BASELINE,0.0,0.0,0.0
2026-05-19 17:17:43.601,BASELINE,0.2833,8.0178,2.9621
2026-05-19 17:17:43.622,BASELINE,0.5498,15.2339,5.7761
2026-05-19 17:17:43.642,BASELINE,0.8037,21.7283,8.4494
2026-05-19 17:17:43.663,BASELINE,1.046,27.5733,10.9891
2026-05-19 17:17:43.684,BASELINE,1.2787,32.8339,13.4018
2026-05-19 17:17:43.705,BASELINE,1.5004,37.5683,15.6938
2026-05-19 17:17:43.726,BASELINE,1.708,41.8293,17.8712
2026-05-19 17:17:43.746,BASELINE,1.9058,45.6642,19.9398
2026-05-19 17:17:43.766,BASELINE,2.0931,49.1156,21.9049
2026-05-19 17:17:43.787,BASELINE,2.2734,52.2219,23.7718
2026-05-19 17:17:43.808,BASELINE,2.4418,55.0176,25.5453
2026-05-19 17:17:43.828,BASELINE,2.6017,57.5336,27.2302
2026-05-19 17:17:43.848,BASELINE,2.7538,59.7981,28.8308
2026-05-19 17:17:43.869,BASELINE,2.9002,61.8361,30.3513
2026-05-19 17:17:43.890,BASELINE,3.0391,63.6704,31.7959
2026-05-19 17:17:43.911,BASELINE,3.1733,65.3212,33.1682
2026-05-19 17:17:43.931,BASELINE,3.2983,66.8069,34.4719
2026-05-19 17:17:43.951,BASELINE,3.42,68.144,35.7104
2026-05-19 17:17:43.972,BASELINE,3.5337,69.3475,36.887
2026-05-19 17:17:43.993,BASELINE,3.6435,70.4306,38.0048
2026-05-19 17:17:44.014,BASELINE,3.7435,71.4054,39.0667
2026-05-19 17:17:44.034,BASELINE,3.8425,72.2827,40.0755
2026-05-19 17:17:44.054,BASELINE,3.9348,73.0722,41.0338
2026-05-19 17:17:44.075,BASELINE,4.0244,73.7828,41.9442
2026-05-19 17:17:44.096,BASELINE,4.1094,74.4224,42.8091
2026-05-19 17:17:44.117,BASELINE,4.1909,74.998,43.6308
2026-05-19 17:17:44.137,BASELINE,4.2652,75.516,44.4114
2026-05-19 17:17:44.158,BASELINE,4.3391,75.9823,45.1529
2026-05-19 17:17:44.179,BASELINE,4.4098,76.4019,45.8574
2026-05-19 17:17:44.199,BASELINE,4.4729,76.7795,46.5267
2026-05-19 17:17:44.220,BASELINE,4.5328,77.1194,47.1624
2026-05-19 17:17:44.240,BASELINE,4.5904,77.4253,47.7664
2026-05-19 17:17:44.261,BASELINE,4.648,77.7006,48.3402
2026-05-19 17:17:44.282,BASELINE,4.7026,77.9484,48.8853
2026-05-19 17:17:44.303,BASELINE,4.7532,78.1714,49.4032
2026-05-19 17:17:44.323,BASELINE,4.7993,78.3721,49.8951
2026-05-19 17:17:44.344,BASELINE,4.8448,78.5527,50.3625
2026-05-19 17:17:44.365,BASELINE,4.8895,78.7153,50.8065
2026-05-19 17:17:44.385,BASELINE,4.9316,78.8616,51.2283
2026-05-19 17:17:44.406,BASELINE,4.9721,78.9933,51.629
2026-05-19 17:17:44.426,BASELINE,5.0093,79.1118,52.0097
2026-05-19 17:17:44.446,BASELINE,5.0472,79.2185,52.3713
2026-05-19 17:17:44.468,BASELINE,5.0801,79.3144,52.7149
2026-05-19 17:17:44.488,BASELINE,5.1121,79.4008,53.0412
2026-05-19 17:17:44.508,BASELINE,5.1421,79.4786,53.3513
2026-05-19 17:17:44.529,BASELINE,5.1708,79.5486,53.6458
2026-05-19 17:17:44.549,BASELINE,5.1999,79.6116,53.9257
2026-05-19 17:17:44.570,BASELINE,5.2272,79.6682,54.1915
2026-05-19 17:17:44.590,BASELINE,5.2517,79.7193,54.444
2026-05-19 17:17:44.611,BASELINE,5.2771,79.8432,54.684
2026-05-19 17:17:44.632,BASELINE,5.3012,79.9548,54.9119
2026-05-19 17:17:44.652,BASELINE,5.3241,80.0552,55.1284
2026-05-19 17:17:44.672,BASELINE,5.345,80.1456,55.3341
2026-05-19 17:17:44.693,BASELINE,5.3623,80.227,55.5295
2026-05-19 17:17:44.713,BASELINE,5.3792,80.3002,55.7152
2026-05-19 17:17:44.734,BASELINE,5.3973,80.3661,55.8915
2026-05-19 17:17:44.755,BASELINE,5.4149,80.4254,56.0591
2026-05-19 17:17:44.775,BASELINE,5.4321,80.4787,56.2182
2026-05-19 17:17:44.796,BASELINE,5.4493,80.5268,56.3694
2026-05-19 17:17:44.816,BASELINE,5.4619,80.57,56.5131
2026-05-19 17:17:44.837,BASELINE,5.4763,80.6089,56.6495
2026-05-19 17:17:44.858,BASELINE,5.491,80.6439,56.7792
