timestamp,phase,smooth_eda,smooth_hr,smooth_hrv
2026-05-25 14:56:00.933,BASELINE,0.0,0.0,0.0
2026-05-25 14:56:00.953,BASELINE,0.6473,7.5,2.0
2026-05-25 14:56:00.973,BASELINE,1.2623,14.25,3.9
2026-05-25 14:56:00.994,BASELINE,1.8467,20.325,5.705
2026-05-25 14:56:01.015,BASELINE,2.4019,25.7925,7.4197
2026-05-25 14:56:01.035,BASELINE,2.9293,30.7133,9.0488
2026-05-25 14:56:01.056,BASELINE,3.4303,35.1419,10.5963
2026-05-25 14:56:01.076,BASELINE,3.9062,39.1277,12.0665
2026-05-25 14:56:01.096,BASELINE,4.3583,42.715,13.4632
2026-05-25 14:56:01.117,BASELINE,4.7877,45.9435,14.79
2026-05-25 14:56:01.137,BASELINE,5.1956,48.8491,16.0505
2026-05-25 14:56:01.157,BASELINE,5.5831,51.4642,17.248
2026-05-25 14:56:01.177,BASELINE,5.9514,53.8178,18.3856
2026-05-25 14:56:01.198,BASELINE,6.3012,55.936,19.4663
2026-05-25 14:56:01.219,BASELINE,6.6333,57.8424,20.493
2026-05-25 14:56:01.239,BASELINE,6.9489,59.5582,21.4684
2026-05-25 14:56:01.260,BASELINE,7.2489,61.1023,22.3949
2026-05-25 14:56:01.280,BASELINE,7.5338,62.4921,23.2752
2026-05-25 14:56:01.300,BASELINE,7.8046,63.7429,24.1114
2026-05-25 14:56:01.321,BASELINE,8.0616,64.8686,24.9059
2026-05-25 14:56:01.341,BASELINE,8.3062,65.8818,25.6606
2026-05-25 14:56:01.362,BASELINE,8.5384,66.7936,26.3775
2026-05-25 14:56:01.383,BASELINE,8.759,67.6142,27.0587
2026-05-25 14:56:01.404,BASELINE,8.9684,68.3528,27.7057
2026-05-25 14:56:01.424,BASELINE,9.1675,69.0175,28.3204
2026-05-25 14:56:01.445,BASELINE,9.3565,69.6158,28.9044
2026-05-25 14:56:01.466,BASELINE,9.5362,70.1542,29.4592
2026-05-25 14:56:01.486,BASELINE,9.7068,70.6388,29.9862
2026-05-25 14:56:01.507,BASELINE,9.8688,71.0749,30.4869
2026-05-25 14:56:01.527,BASELINE,10.0227,71.4674,30.9626
2026-05-25 14:56:01.547,BASELINE,10.169,71.8207,31.4144
2026-05-25 14:56:01.568,BASELINE,10.3078,72.1386,31.8437
2026-05-25 14:56:01.588,BASELINE,10.4398,72.4247,32.2515
2026-05-25 14:56:01.609,BASELINE,10.5652,72.6823,32.639
2026-05-25 14:56:01.630,BASELINE,10.6844,72.914,33.007
2026-05-25 14:56:01.651,BASELINE,10.7975,73.1226,33.3567
2026-05-25 14:56:01.671,BASELINE,10.905,73.3104,33.6888
2026-05-25 14:56:01.691,BASELINE,11.0072,73.4793,34.0044
2026-05-25 14:56:01.713,BASELINE,11.1042,73.6314,34.3042
2026-05-25 14:56:01.734,BASELINE,11.1963,73.7683,34.589
2026-05-25 14:56:01.755,BASELINE,11.2839,73.8914,34.8595
2026-05-25 14:56:01.775,BASELINE,11.3672,74.0023,35.1165
2026-05-25 14:56:01.796,BASELINE,11.4463,74.1021,35.3607
2026-05-25 14:56:01.816,BASELINE,11.5214,74.1919,35.5927
2026-05-25 14:56:01.837,BASELINE,11.5928,74.2727,35.813
2026-05-25 14:56:01.858,BASELINE,11.6606,74.3454,36.0224
2026-05-25 14:56:01.879,BASELINE,11.725,74.4109,36.2213
2026-05-25 14:56:01.900,BASELINE,11.7862,74.4698,36.4102
2026-05-25 14:56:01.921,BASELINE,11.8443,74.5228,36.5897
2026-05-25 14:56:01.942,BASELINE,11.8994,74.5705,36.7602
2026-05-25 14:56:01.963,BASELINE,11.9518,74.6135,36.9222
2026-05-25 14:56:01.984,BASELINE,12.0014,74.6521,37.0761
2026-05-25 14:56:02.004,BASELINE,12.0486,74.6869,37.2223
2026-05-25 14:56:02.024,BASELINE,12.0934,74.7182,37.3612
2026-05-25 14:56:02.045,BASELINE,12.1361,74.7464,37.4931
2026-05-25 14:56:02.065,BASELINE,12.1764,74.7718,37.6185
2026-05-25 14:56:02.085,BASELINE,12.2148,74.7946,37.7375
2026-05-25 14:56:02.105,BASELINE,12.2514,74.8151,37.8507
2026-05-25 14:56:02.126,BASELINE,12.2861,74.8336,37.9581
2026-05-25 14:56:02.147,BASELINE,12.3191,74.8502,38.0602
2026-05-25 14:56:02.168,BASELINE,12.3505,74.8652,38.1572
2026-05-25 14:56:02.190,BASELINE,12.3803,74.8787,38.2493
2026-05-25 14:56:02.211,BASELINE,12.4086,74.8908,38.3369
2026-05-25 14:56:02.231,BASELINE,12.4356,74.9017,38.42
2026-05-25 14:56:02.252,BASELINE,12.4612,74.9116,38.499
2026-05-25 14:56:02.273,BASELINE,12.4855,74.9204,38.5741
2026-05-25 14:56:02.294,BASELINE,12.5087,74.9284,38.6454
2026-05-25 14:56:02.315,BASELINE,12.5305,74.9355,38.7131
2026-05-25 14:56:02.336,BASELINE,12.5514,74.942,38.7775
2026-05-25 14:56:02.356,BASELINE,12.5712,74.9478,38.8386
2026-05-25 14:56:02.378,BASELINE,12.5901,74.953,38.8967
2026-05-25 14:56:02.399,BASELINE,12.6078,74.9577,38.9518
2026-05-25 14:56:02.419,BASELINE,12.6247,74.9619,39.0042
2026-05-25 14:56:02.440,BASELINE,12.6407,74.9657,39.054
2026-05-25 14:56:02.460,BASELINE,12.6558,74.9692,39.1013
2026-05-25 14:56:02.481,BASELINE,12.6703,74.9723,39.1463
2026-05-25 14:56:02.502,BASELINE,12.684,74.975,39.1889
2026-05-25 14:56:02.523,BASELINE,12.6972,74.9775,39.2295
2026-05-25 14:56:02.543,BASELINE,12.7096,74.9798,39.268
2026-05-25 14:56:02.564,BASELINE,12.7217,74.9818,39.3046
2026-05-25 14:56:02.585,BASELINE,12.7329,74.9836,39.3394
2026-05-25 14:56:02.605,BASELINE,12.7437,74.9853,39.3724
2026-05-25 14:56:02.626,BASELINE,12.754,74.9867,39.4038
2026-05-25 14:56:02.647,BASELINE,12.7638,74.9881,39.4336
2026-05-25 14:56:02.667,BASELINE,12.773,74.9892,39.4619
2026-05-25 14:56:02.687,BASELINE,12.7818,74.9903,39.4888
2026-05-25 14:56:02.708,BASELINE,12.7902,74.9913,39.5144
2026-05-25 14:56:02.728,BASELINE,12.7982,74.9922,39.5387
2026-05-25 14:56:02.748,BASELINE,12.8057,74.9929,39.5617
2026-05-25 14:56:02.768,BASELINE,12.8128,74.9937,39.5836
