timestamp,phase,smooth_eda,smooth_hr,smooth_hrv
2026-06-01 17:48:13.621,IDLE,8.8751,nan,nan
2026-06-01 17:48:13.642,IDLE,8.875,nan,nan
2026-06-01 17:48:13.662,IDLE,8.8748,nan,nan
2026-06-01 17:48:13.682,IDLE,8.8746,nan,nan
2026-06-01 17:48:13.702,IDLE,8.8742,nan,nan
2026-06-01 17:48:13.724,IDLE,8.8741,nan,nan
2026-06-01 17:48:13.744,IDLE,8.874,nan,nan
2026-06-01 17:48:13.765,IDLE,8.8736,nan,nan
2026-06-01 17:48:13.786,IDLE,8.8733,nan,nan
2026-06-01 17:48:13.806,IDLE,8.8729,nan,nan
2026-06-01 17:48:13.826,IDLE,8.8726,nan,nan
2026-06-01 17:48:13.847,IDLE,8.8721,nan,nan
2026-06-01 17:48:13.867,IDLE,8.8715,nan,nan
2026-06-01 17:48:13.888,IDLE,8.8709,nan,nan
2026-06-01 17:48:13.908,IDLE,8.8702,nan,nan
2026-06-01 17:48:13.929,IDLE,8.8696,nan,nan
2026-06-01 17:48:13.949,IDLE,8.8689,nan,nan
2026-06-01 17:48:13.970,IDLE,8.8684,nan,nan
2026-06-01 17:48:13.991,IDLE,8.8679,nan,nan
2026-06-01 17:48:14.011,IDLE,8.8674,nan,nan
2026-06-01 17:48:14.032,IDLE,8.8669,nan,nan
2026-06-01 17:48:14.052,IDLE,8.8664,nan,nan
2026-06-01 17:48:14.073,IDLE,8.8659,nan,nan
2026-06-01 17:48:14.093,IDLE,8.8657,nan,nan
2026-06-01 17:48:14.114,IDLE,8.8653,nan,nan
2026-06-01 17:48:14.134,IDLE,8.8653,nan,nan
2026-06-01 17:48:14.154,IDLE,8.8652,nan,nan
2026-06-01 17:48:14.175,IDLE,8.8651,nan,nan
2026-06-01 17:48:14.195,IDLE,8.8647,nan,nan
2026-06-01 17:48:14.216,IDLE,8.8647,nan,nan
2026-06-01 17:48:14.237,IDLE,8.8651,nan,nan
2026-06-01 17:48:14.257,IDLE,8.8661,nan,nan
2026-06-01 17:48:14.278,IDLE,8.8663,nan,nan
2026-06-01 17:48:14.298,IDLE,8.8666,nan,nan
2026-06-01 17:48:14.319,IDLE,8.867,nan,nan
2026-06-01 17:48:14.340,IDLE,8.8674,nan,nan
2026-06-01 17:48:14.360,IDLE,8.8679,nan,nan
2026-06-01 17:48:14.381,IDLE,8.8685,nan,nan
2026-06-01 17:48:14.402,IDLE,8.869,nan,nan
2026-06-01 17:48:14.422,IDLE,8.8698,nan,nan
2026-06-01 17:48:14.442,IDLE,8.8707,nan,nan
2026-06-01 17:48:14.462,IDLE,8.8716,nan,nan
2026-06-01 17:48:14.483,IDLE,8.8724,nan,nan
2026-06-01 17:48:14.503,IDLE,8.8732,nan,nan
2026-06-01 17:48:14.523,IDLE,8.874,nan,nan
2026-06-01 17:48:14.544,IDLE,8.8745,nan,nan
2026-06-01 17:48:14.565,IDLE,8.8749,nan,nan
2026-06-01 17:48:14.586,IDLE,8.8752,nan,nan
2026-06-01 17:48:14.606,IDLE,8.8757,nan,nan
2026-06-01 17:48:14.626,IDLE,8.8757,nan,nan
2026-06-01 17:48:14.646,IDLE,8.876,nan,nan
2026-06-01 17:48:14.666,IDLE,8.8762,nan,nan
2026-06-01 17:48:14.686,IDLE,8.8764,nan,nan
2026-06-01 17:48:14.707,IDLE,8.8765,nan,nan
2026-06-01 17:48:14.728,IDLE,8.8767,nan,nan
2026-06-01 17:48:14.749,IDLE,8.8769,nan,nan
2026-06-01 17:48:14.769,IDLE,8.877,nan,nan
2026-06-01 17:48:14.790,IDLE,8.8768,nan,nan
2026-06-01 17:48:14.811,IDLE,8.8767,nan,nan
2026-06-01 17:48:14.831,IDLE,8.8766,nan,nan
2026-06-01 17:48:14.852,IDLE,8.8765,nan,nan
2026-06-01 17:48:14.873,IDLE,8.8764,nan,nan
2026-06-01 17:48:14.894,IDLE,8.8762,nan,nan
2026-06-01 17:48:14.914,IDLE,8.876,nan,nan
