timestamp,phase,smooth_eda,smooth_hr,smooth_hrv
2026-05-25 15:36:49.429,BASELINE,0.0,0.0,0.0
2026-05-25 15:36:49.449,BASELINE,0.6479,8.8496,0.55
2026-05-25 15:36:49.470,BASELINE,1.2634,16.8142,1.0725
2026-05-25 15:36:49.491,BASELINE,1.8481,23.9823,1.5689
2026-05-25 15:36:49.512,BASELINE,2.4037,30.4336,2.0404
2026-05-25 15:36:49.534,BASELINE,2.9313,36.2398,2.4884
2026-05-25 15:36:49.554,BASELINE,3.4327,41.4654,2.914
2026-05-25 15:36:49.575,BASELINE,3.909,46.1684,3.3183
2026-05-25 15:36:49.595,BASELINE,4.3617,50.4011,3.7024
2026-05-25 15:36:49.616,BASELINE,4.7917,54.2106,4.0673
2026-05-25 15:36:49.637,BASELINE,5.2002,57.6391,4.4139
2026-05-25 15:36:49.659,BASELINE,5.5882,60.7247,4.7432
2026-05-25 15:36:49.680,BASELINE,5.9567,63.5018,5.056
2026-05-25 15:36:49.701,BASELINE,6.3069,66.0012,5.3532
2026-05-25 15:36:49.722,BASELINE,6.6395,68.2506,5.6356
2026-05-25 15:36:49.742,BASELINE,6.9555,70.2751,5.9038
2026-05-25 15:36:49.763,BASELINE,7.2557,72.0972,6.1586
2026-05-25 15:36:49.784,BASELINE,7.5408,73.737,6.4007
2026-05-25 15:36:49.804,BASELINE,7.8117,75.2129,6.6306
2026-05-25 15:36:49.825,BASELINE,8.069,76.5411,6.8491
2026-05-25 15:36:49.846,BASELINE,8.3135,77.7366,7.0567
2026-05-25 15:36:49.866,BASELINE,8.5457,78.8125,7.2538
2026-05-25 15:36:49.886,BASELINE,8.7664,79.7808,7.4411
2026-05-25 15:36:49.907,BASELINE,8.976,80.6523,7.6191
2026-05-25 15:36:49.928,BASELINE,9.1751,81.4366,7.7881
2026-05-25 15:36:49.949,BASELINE,9.3643,82.1425,7.9487
2026-05-25 15:36:49.969,BASELINE,9.5441,82.7778,8.1013
2026-05-25 15:36:49.990,BASELINE,9.7149,83.3496,8.2462
2026-05-25 15:36:50.011,BASELINE,9.8772,83.8642,8.3839
2026-05-25 15:36:50.031,BASELINE,10.0315,84.3273,8.5147
2026-05-25 15:36:50.051,BASELINE,10.1778,84.7441,8.639
2026-05-25 15:36:50.073,BASELINE,10.317,85.1193,8.757
2026-05-25 15:36:50.093,BASELINE,10.4491,85.4569,8.8692
2026-05-25 15:36:50.113,BASELINE,10.5746,85.7608,8.9757
2026-05-25 15:36:50.134,BASELINE,10.6937,86.0343,9.0769
2026-05-25 15:36:50.154,BASELINE,10.8069,86.2804,9.1731
2026-05-25 15:36:50.175,BASELINE,10.9144,86.5019,9.2644
2026-05-25 15:36:50.195,BASELINE,11.0165,86.7013,9.3512
2026-05-25 15:36:50.215,BASELINE,11.1136,86.8807,9.4336
2026-05-25 15:36:50.236,BASELINE,11.2058,87.0422,9.512
2026-05-25 15:36:50.256,BASELINE,11.2934,87.1875,9.5864
2026-05-25 15:36:50.277,BASELINE,11.3767,87.3183,9.657
2026-05-25 15:36:50.297,BASELINE,11.4557,87.4361,9.7242
2026-05-25 15:36:50.317,BASELINE,11.5309,87.542,9.788
2026-05-25 15:36:50.338,BASELINE,11.6024,87.6374,9.8486
2026-05-25 15:36:50.358,BASELINE,11.6703,87.7232,9.9062
2026-05-25 15:36:50.379,BASELINE,11.7348,87.8004,9.9608
2026-05-25 15:36:50.400,BASELINE,11.796,87.8699,10.0128
2026-05-25 15:36:50.421,BASELINE,11.8542,87.9325,10.0622
2026-05-25 15:36:50.441,BASELINE,11.9094,87.9888,10.1091
2026-05-25 15:36:50.462,BASELINE,11.9617,88.0395,10.1536
2026-05-25 15:36:50.482,BASELINE,12.0117,88.0851,10.1959
2026-05-25 15:36:50.503,BASELINE,12.0592,88.1261,10.2361
2026-05-25 15:36:50.524,BASELINE,12.1043,88.1631,10.2743
2026-05-25 15:36:50.544,BASELINE,12.147,88.1963,10.3106
2026-05-25 15:36:50.565,BASELINE,12.1876,88.2263,10.3451
2026-05-25 15:36:50.586,BASELINE,12.2262,88.2532,10.3778
2026-05-25 15:36:50.607,BASELINE,12.2626,88.2774,10.4089
2026-05-25 15:36:50.628,BASELINE,12.2974,88.2992,10.4385
2026-05-25 15:36:50.650,BASELINE,12.3303,88.3189,10.4666
2026-05-25 15:36:50.671,BASELINE,12.3616,88.3365,10.4932
2026-05-25 15:36:50.691,BASELINE,12.3914,88.3525,10.5186
2026-05-25 15:36:50.711,BASELINE,12.4198,88.3668,10.5426
2026-05-25 15:36:50.732,BASELINE,12.4468,88.3796,10.5655
